,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0,Inf,0,99
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,5.7,0.2,4.3,0.2
Herbaceous_vegetation,0.2,4.9,0.6,1.6
Cultivated_managed_vegetation,0.1,6.7,0.2,4.9
Regularly_flooded_vegetation,1.1,0.9,1.4,0.7
A_aegypti,0,32.3,0,32.3
Deciduous_broadleaf_trees,0.4,2.7,0.9,1.1
Evergreen_broadleaf_trees,Inf,0,Inf,0
Mixed_trees,0.9,1.1,1.6,0.6
Grasslands,0.1,6.7,0.4,2.6
Shrublands,0.1,15.7,0.1,7.3
Savannas,0.2,4.3,0.6,1.8
Woody_savannas,0.7,1.4,0.8,1.3
Cropland_&_natural_vegetation,0.4,2.4,0.5,1.9
Croplands_2019,2.3,0.4,2.3,0.4
Banana_harvested_area,0,49,0,32.3
Cassava_harvested_area,0.1,7.3,0.1,8.1
Cocoa_harvested_area,0.1,10.1,0,99
Coffee_harvested_area,0.3,3.5,0.2,4.9
Maize_harvested_area,0.1,9,0.2,4.6
Soybean_harvested_area,2.8,0.4,1.6,0.6
Sugarcane_harvested_area,0.2,6.1,0.3,3.2
Cattle_production,0.6,1.6,0.4,2.3
Forest_loss_2020-2023,1.8,0.6,2.1,0.5
Waterbodies,0.1,8.1,0.2,6.1
Precipitation_mean_2023,2.3,0.4,2.6,0.4
Annual_mean_temperature_2020,0.6,1.6,0.7,1.4
